BoxLength,N_14DXinGCmean,N_14DXinGCsem,N_14DXinMixmean,N_14DXinMixsem,14DXinGC_mean,14DXinGC_sem,14DXinMix_mean,14DXinMix_sem,dG_mean,dG_sem
310,27.04807692307692,0.3337466549311793,2.25,0.3098858711966899,9.079277944035756e-07,1.120293561582959e-08,3.515625e-05,4.84196673744828e-06,-8769.53151460977,537.7164607877789
300,26.60141509433962,0.32840445159408593,2.672169811320755,0.30580515265984887,9.852375960866526e-07,1.2163127836817997e-08,4.1752653301886793e-05,4.778205510310139e-06,-9261.287435394224,254.76496156050126
287,25.407894736842103,0.4773867402195833,3.8399122807017543,0.44662340280020657,1.0747884514095555e-06,2.01941074047378e-08,5.999862938596491e-05,6.978490668753227e-06,-9822.603798344737,426.3716951761128
250,25.10921052631579,0.47781914556585625,4.278947368421052,0.4693497543151168,1.6069894736842104e-06,3.05804253162148e-08,6.685855263157894e-05,7.333589911173699e-06,-9210.08923761041,284.5389500956384
225,23.875,0.2076368867520028,5.553571428571429,0.2280680605259937,2.0960219478737996e-06,1.8228752746403538e-08,8.677455357142857e-05,3.563563445718652e-06,-8993.85152475279,559.5201361227679
200,22.479166666666668,0.23864270995456693,6.8125,0.2682760560777088,2.8098958333333333e-06,2.983033874432087e-08,0.0001064453125,4.191813376214201e-06,-8832.406161392984,536.1716731216333
175,19.170454545454547,0.3173877589257622,10.083333333333334,0.32600489508669955,3.5769944341372915e-06,5.9221039566322973e-08,0.00015755208333333336,5.0938264857296804e-06,-9422.726003344265,189.53471825969305
150,14.071428571428571,0.3027233325685812,15.11904761904762,0.30097137633594956,4.169312169312169e-06,8.969580224254257e-08,0.00023623511904761907,4.702677755249212e-06,-10084.209403546476,320.15773952963013
125,11.529761904761905,0.31174873273267456,17.589285714285715,0.32435915801471904,5.903238095238095e-06,1.5961535115912937e-07,0.00027483258928571433,5.068111843979985e-06,-9633.020198131537,374.08360755645003
100,5.403523489932886,0.5995932638855442,23.699664429530202,0.5896665830877681,5.4035234899328865e-06,5.995932638855442e-07,0.0003703072567114094,9.213540360746376e-06,-10559.373187229347,122.37931823358075
50,0.6847826086956521,0.28208194161390504,28.467391304347828,0.2660203722013615,5.4782608695652166e-06,2.25665553291124e-06,0.0004448029891304348,4.156568315646273e-06,-11776.571121320801,818.5691647654112
