T [K],dens_liq [g/ml],dL,dens_vap [g/ml],dV,Pvap [kPa],dP
310,1.0162538125,0.0007079240614804174,0.000556351875,1.9912865171766675e-05,16.155625,0.5759340013910736
330,0.9939996875,0.0006313295145877349,0.00118695,2.136966892583973e-05,36.503125,0.6493231852924499
360,0.9590435625,0.0004937141207955407,0.00291764375,7.914647442598123e-05,96.57,2.528704213624045
390,0.9239378125,0.0004503228029124415,0.006457875,0.00012924661133533315,225.47375,4.358086819828935
420,0.8859868125,0.000708412745854832,0.0122043875,0.0002541199949293968,444.916875,8.733416271175042
450,0.8467949375,0.0004557385806646729,0.022121875,0.00021676205992977643,823.533125,6.659845325953525
480,0.7999404999999999,0.001088220091096772,0.0361025,0.0007184118943892843,1347.46625,20.22512160810165
500,0.764922625,0.0011616647496696289,0.049709625,0.0007508143405385473,1834.273125,22.434931500503673
520,0.7282505625,0.0015091274243989152,0.0680716875,0.0013261068984020802,2449.9362499999997,36.443416676575474
530,0.7059209375,0.001979165083793227,0.0767759375,0.001412543519886349,2761.684375,33.79925619212093
535,0.6947840625,0.002072104894925188,0.0839231875,0.002005004246086007,2961.028125,47.81474230662502
540,0.6856653125000001,0.001792120810005909,0.09106925,0.0016704232485111865,3149.72375,34.473166012071374
545,0.671563,0.0028247226456769173,0.0978479375,0.002745082912331231,3376.25875,60.89780511148028
550,0.6603378125,0.0024459094869781184,0.102992875,0.002238661368755519,3503.129375,36.72602953479488
555,0.6453476874999999,0.0036397574549672375,0.118440125,0.004242988669435534,3792.73375,61.16753377592698
560,0.6361584,0.0034974781891828183,0.13169133333333333,0.005537770297964323,4061.0706666666665,50.2641316160054
565,0.6242932307692308,0.004769781035873396,0.14765076923076922,0.004340429415944107,4401.473846153846,66.72182682637902
